cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2021","5/18/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","0","0","0","0","0","0","0","0","0","0","","0","0","0",""
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","12/31/2021","5/18/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","-4.64862226457634E-02","0","0","0","","0","","0","-5.08414255935736E-02","-0.216731686172518","","-0.216731686172518","-1.09683484801003","4.69439489249836E-02",""
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2021","5/18/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","6.4896448866318E-03","0","0","0","0","0","0","0","0","2.63032042085127","","2.63032042085127","","2.63032042085127",""
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2021","5/18/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","7.73145775531483E-03","-5.14023015146856E-03","0","0","0","-8.04481694384718E-02","-0.255956813104989","0","0","0.143967751223726","","0.143967751223726","0","0.144885540423066","0"
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","12/31/2021","5/18/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","4.01760996097179E-02","0","0","0","0","0","0","0","-7.98818428571186E-02","2.05983446872402","","2.05983446872402","","2.05983446872402","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","12/31/2021","5/18/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","8.69468134494873E-02","0.108895837996428","1.13824455334913","0.121581274092027","0","-5.33428560209637E-02","-1.54606102302858E-02","-6.23260256068309E-02","-6.20404631081954E-02","0.172294968986906","","0.172294968986906","0","0.287576687116564","0"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","12/31/2021","5/18/2022","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","-2.13874464244467E-03","0","0","0","","0","","0","0","-7.64175454684396E-02","","-7.64175454684396E-02","0","-0.30902348578492",""
"27552","10064","1412619","2784920","1ST CONSTITUTION BANK","Cranbury","NJ","8512","12/31/2021","5/18/2022","NM","2650 Rt. 130","1ST CONSTITUTION BCORP","26","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","11/8/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","8.34561161759526E-02","0.115139767321065","0.540106835005167","6.43920232785866E-02","0","0","0","0","8.99591320954604E-03","0","","0","0","0",""
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","12/31/2021","5/18/2022","NM","3956 W. Dempster St.","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","5/5/2020","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","-2.13590159318842E-02","0","0","0","0","0","0","0","-1.02621991892863E-02","-11.3636363636364","","-11.3636363636364","0","-11.4942528735632",""
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","12/31/2021","5/18/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","1.73080405167915E-02","0","0","0","","0","0","0","0","7.85545954438335E-02","","7.85545954438335E-02","0","9.93640699523052E-02",""
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","12/31/2021","5/18/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","1.1299187990558","0.173577827634626","0.335536858974359","0","0","0","","0","0","1.77710769599212","1.77998511681663","0","0","0","0"
"6646","8805","480723","","1ST NATIONAL BANK","Lebanon","OH","45036","12/31/2021","5/18/2022","N","730 E. Main St.","","11","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","12/31/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","5.06885533081377E-02","3.33077727018377E-02","0","0","0","6.90372525014498E-02","0","9.08323880036656E-02","0","1.63683980794413","","1.63683980794413","0","9.9601593625498",""
"57633","0","1018927","4347208","1ST SECURITY BANK OF WASHINGTON","Mountlake Terrac","WA","98043","12/31/2021","5/18/2022","SB","6920 220th St. Sw, # 300","FS BCORP INC","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","5.75355988340636E-02","0","0","0","0","0","0","0","2.05709633273858E-02","0.250735012496593","-0.791000175777817","0.253718434959984","-1.08506944444444","0.25527303883275","0"
"9087","10250","991340","1199602","1ST SOURCE BANK","South Bend","IN","46601","12/31/2021","5/18/2022","SM","100 N. Michigan St, # B","1ST SOURCE CORP","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","0.162389505388952","1.25653730064044E-02","0","-2.61301352248251E-03","0","4.08943459054968E-02","-6.68802872582649E-03","5.74704312042696E-02","0.183961280119207","0.200600269508759","","0.200600269508759","-0.034392738873949","0.40690970055472","0"
"57626","0","3223305","3223293","1ST STATE BANK","Saginaw","MI","48604","12/31/2021","5/18/2022","NM","4800 Fashion Sq. Blvd, # 100","1ST STATE FINANCIAL LTD","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststate.bank","4.95543831410772E-02","7.69631966476924E-02","0","0.127041704796392","0","-7.70891150169596E-02","0","-0.109822526796697","2.16720348546105E-02","0","","0","0","0",""
"8426","10595","526519","1830240","1ST SUMMIT BANK","Johnstown","PA","15904","12/31/2021","5/18/2022","NM","125 Donald Ln.","1ST SUMMIT BCORP JOHNSTOWN INC","17","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.bank","8.66686021131298E-02","5.77131521533535E-02","0.572385703612658","5.03970370207471E-02","0","9.01716058941137E-03","8.96785919265353E-02","4.59193145164729E-03","9.90280872405504E-02","0.512075613151976","3.33001369351425","0.172509488021841","0.110189266269121","0.25807140568825",""
"57869","0","3309393","","1ST TRUST BANK, INC.","Hazard","KY","41701","12/31/2021","5/18/2022","NM","44 Commerce Dr","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","1/28/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","0.188760769183768","0.126997289809188","0","0.122010736944851","0","0.180529665642266","0","0.184543019982147","0.504914721870676","0.131174574619594","","0.131174574619594","0","0.216503773351478",""
"31249","6607","350572","5281989","1ST UNITED BANK","Faribault","MN","55021","12/31/2021","5/18/2022","NM","430 4th St Nw","MIDCOUNTRY ACQUISITION CORP","2","0","0","7","0","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.1stunited.com","-3.13556549242011E-02","-4.70840634775061E-02","0","0","0","-0.185235893883994","0","-0.249025552187094","0","0","","0","0","0",""
"9751","0","340256","3304352","21ST CENTURY BANK","Loretto","MN","55357","12/31/2021","5/18/2022","NM","699 N. Medina St.","DOLPHIN FAMILY MANAGEMENT CO","8","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","1.51676480134931E-03","7.79081500521716E-03","0.130577693727768","0","0","0","0","0","-1.36644200624919E-02","0","","0","0","0",""
"16910","0","449430","3438051","22ND STATE BANK","Louisville","AL","36048","12/31/2021","5/18/2022","NM","1920 Main St.","FEB BANCSHARES INC","6","0","0","4","1","Barbour","","","1/1/1917","5/29/1950","11/13/2020","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.22ndstatebank.com","5.46853345918451E-02","1.31199652133494E-02","0","-2.54827710984603E-03","0","-6.58628472069762E-03","0","-7.31108165015987E-03","0","0.683129237931383","","0.683129237931383","0","0.725026852846402",""
"91005","0","455253","4754758","5STAR BANK","Colorado Springs","CO","80914","12/31/2021","5/18/2022","NM","Peterson Air Force Base, 455","LITTLE LONDON BCORP","6","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","3.89588771343267E-02","0","0","0","0","0","0","0","0.294040598987431","0","","0","0","0",""
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","12/31/2021","5/18/2022","NM","2815 Meredyth Dr.","COMMUNITY CAPITAL BANCSHARES","3","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.abtgold.com","0.160875717453804","-1.58415181176941E-02","0","-2.10356259360854E-03","0","-3.75826819001804E-02","0","-4.37653786677819E-02","0.638810911970057","0.358716818694271","","0.358716818694271","0","0.471031559114461",""
"32257","8059","762773","","ABACUS FEDERAL SAVINGS BANK","New York","NY","10013","12/31/2021","5/18/2022","SA","6 Bowery","","6","0","1","5","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.abacusbank.com","0","0","","0","0","0","0","0","0","0","0","0","","0",""
"30332","5179","114774","","ABBEVILLE BUILDING & LOAN (A STATE-CHARTERED SAVINGS BANK)","Abbeville","LA","70510","12/31/2021","5/18/2022","SB","1212 Charity St","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","11/16/2021","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.abbemae.com","9.64585252456075E-03","0","0","","","0","0","0","","15.5038759689922","","15.5038759689922","","15.5038759689922",""
"30619","5642","416272","","ABBEVILLE FIRST BANK, SSB","Abbeville","SC","29620","12/31/2021","5/18/2022","SB","205 S. Main St","","2","0","0","8","0","Abbeville","","","1/1/1907","5/11/1953","10/17/2013","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://www.abbevillefirst.com","0.010655149633818","2.39000023900002E-02","0","-4.62691631450693E-02","0","3.77860403252622E-02","0","3.86621852898117E-02","-0.229885057471264","0","","0","0","0",""
"19795","16035","198149","3612794","ABBYBANK","Abbotsford","WI","54405","12/31/2021","5/18/2022","NM","401 E. Spruce St.","ABBY BCORP INC","8","0","0","4","0","Marathon","48140","Wausau, WI","3/1/1968","3/1/1968","10/25/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","www.abbybank.com","0.196560323152385","0","0","0","0","0","0","0","8.53685431146713E-02","0","","0","0","0","0"
"26590","13875","61476","3728930","ABINGTON BANK","Abington","MA","2351","12/31/2021","5/18/2022","SM","6 Harrison Ave","HOMETOWN FINANCIAL GROUP MHC","6","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","1/1/1916","3/6/1986","5/1/2021","Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","0","www.abingtonbank.com","-7.69579645336655E-04","0","0","0","0","0","0","0","0","0","","0","0","0",""
"19600","0","535753","2107707","ACADEMY BANK, NATIONAL ASSOCIATION","Kansas City","MO","64108","12/31/2021","5/18/2022","N","1881 Main St","DICKINSON FINANCIAL CORP II","82","0","1","4","0","Jackson","28140","Kansas City, MO-KS","6/15/1966","6/15/1966","3/25/2020","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.academybank.com","0.24670454694808","0.268217324286422","0","0.386257942628459","0","2.71227455941628E-02","0.231287290175386","0","-0.430322105752905","3.92545399819404","0.760425838469543","4.51348095712565","0","4.72064953648977","0"
"4061","13760","266253","1055708","ACB BANK","Cherokee","OK","73728","12/31/2021","5/18/2022","NM","323 S Grand St.","ALFALFA COUNTY BANCSHARES INC","3","0","0","2","1","Alfalfa","","","1/29/1908","1/1/1934","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.acbbank.net","0.800723748094963","0.230562156233902","0","0","","0","","0","2.07170397652069","0.161151697464547","","0.161151697464547","0","0.314201927105153",""
"58727","0","3614837","3637939","ACCESS BANK","Omaha","NE","68114","12/31/2021","5/18/2022","NM","8712 W. Dodge Rd.","3MV BCORP INC","7","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/10/2007","12/10/2007","5/6/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","WWW.ACCESSBANK.COM","2.81235806380397E-03","1.64826108455579E-03","0","0","0","7.99455456626115E-03","3.05229008965012E-02","0","7.71596603123114E-04","0","","0","0","0",""
"58562","0","3535848","4556381","ACCESSBANK TEXAS","Denton","TX","76201","12/31/2021","5/18/2022","NM","320 W. Eagle Drive, # 100","ACCESS BCORP INC","5","0","0","4","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","10/22/2007","10/22/2007","5/16/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://WWW.ACCESSBANKTX.COM","0.238138167764937","0.139195073959593","0","0.237273601438627","0","0","0","0","0.633700203152955","0.25467401725791","2.29295926625303","0","0","0",""
"7506","12499","5210","1117464","ACNB BANK","Gettysburg","PA","17325","12/31/2021","5/18/2022","NM","16 Lincoln Sq.","ACNB CORP","31","0","1","4","0","Adams","23900","Gettysburg, PA","4/11/1857","1/1/1934","1/11/2020","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","0","http://www.acnb.com","7.97467607289226E-02","1.70520560516584E-03","0","0","0","4.70805964169954E-03","2.27243617553123E-02","0","0.559009803018653","0.736179895596306","","0.736179895596306","0","0.774416107855043",""
"18489","12279","463650","5006472","ADAMS BANK & TRUST","Ogallala","NE","69153","12/31/2021","5/18/2022","SM","315 N. Spruce St.","ADAGE LLC","20","0","1","2","0","Keith","","","2/26/1962","2/26/1962","10/3/2017","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","http://www.abtbank.com","-1.21506358387677E-02","-1.78265194433848E-02","-0.170977191642635","0","0","0","0","0","-1.03602679579705E-03","7.5428433502293E-03","","7.5428433502293E-03","-0.048019976310145","5.70597129896437E-02",""
"90140","12033","343903","","ADAMS COMMUNITY BANK","Adams","MA","1220","12/31/2021","5/18/2022","SB","2 Ctr. St","","8","0","0","5","0","Berkshire","38340","Pittsfield, MA","5/1/1869","7/24/1985","5/1/2021","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.adamscommunity.com","0.138599164828258","0.126717286712071","0","1.9235037360361","0","-4.11664783612149E-03","0","-4.33792088184411E-03","0.346911482267293","0.533576262363352","","0.533576262363352","0.339043540328337","1.05769230769231","0"
"14311","0","9553","1053870","ADAMS COUNTY BANK","Kenesaw","NE","68956","12/31/2021","5/18/2022","NM","401 N. Smith Ave.","FIRST KENESAW CO","2","0","0","2","1","Adams","","","1/1/1878","1/1/1934","6/1/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","http://www.adamscountybank.net","-8.87292551001576E-04","0","0","0","0","0","","0","0","0","","0","0","0",""
"9812","0","332756","","ADAMS STATE BANK","Adams","NE","68301","12/31/2021","5/18/2022","NM","649 Main St.","","1","0","0","2","1","Gage","","","1/18/1918","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","www.adamsstate.com","-2.00539738381587E-02","0","0","0","","0","","0","-0.222474909774064","0.120636963165514","","0.120636963165514","0.1350013500135","0","0"
"28380","1473","101671","2467474","ADIRONDACK BANK","Utica","NY","13501","12/31/2021","5/18/2022","SM","185 Genesee St.","ADIRONDACK BCORP INC","19","0","0","4","0","Oneida","46540","Utica-Rome, NY","1/1/1898","1/25/1936","1/1/2014","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.adirondackbank.com","0.184464414384395","0.206616642254535","0","0.646485325288183","0","1.65906262961427E-02","0","1.96646779122405E-02","0.100903570742388","0.575912461305881","","0.575912461305881","0","0.616316992373077",""
"8251","0","94858","1399505","ADRIAN BANK","Adrian","MO","64720","12/31/2021","5/18/2022","SM","130 E. Main St.","ADRIAN BANCSHARES INC","3","0","0","2","1","Bates","28140","Kansas City, MO-KS","10/18/1932","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.adrianbank.com","3.80219875722418E-02","0","0","0","","0","","0","-4.07232448281479E-02","1.30667712008363E-02","","1.30667712008363E-02","0","2.20351681283328E-02",""
"8822","0","293352","1125254","ADRIAN STATE BANK","Adrian","MN","56110","12/31/2021","5/18/2022","NM","322 Maine Ave.","ADRIAN BUILDING CORP","1","0","0","2","1","Nobles","","","10/23/1889","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","0","1","www.adrianstatebank.com","0.286344386896479","0.168614609124713","","0","0","0","","0","0","0","","0","0","0",""
"29510","3575","321273","5535301","AFFINITY BANK","Covington","GA","30014","12/31/2021","5/18/2022","SA","3175 Hwy. 278","AFFINITY BANCSHARES INC","3","0","0","4","0","Newton","12060","Atlanta-Sandy Springs-Roswell, GA","1/1/1928","1/20/1947","5/7/2021","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.newtonfederal.com","-0.177460137974415","-0.451686547198137","0","-0.659162561179155","0","-9.25958811322574E-02","0","-9.57193770110903E-02","8.70356277499322E-02","0.21494109270678","","0.21494109270678","9.49333222865467E-02","4.51788587696497",""
"35267","14939","2909330","","AIG FEDERAL SAVINGS BANK","Wilmington","DE","19809","12/31/2021","5/18/2022","SA","503 Carr Rd, # 130","","1","0","0","5","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5/15/2000","5/15/2000","12/15/2014","Stock","0","1","OCC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","0","0","","","","","","","","","","","","","","","",""
"35314","0","2877484","3047583","ALAMERICA BANK","Birmingham","AL","35205","12/31/2021","5/18/2022","NM","2170 Highland Ave.","ALAMERICA BANCCORP INC","1","0","0","4","1","Jefferson","13820","Birmingham-Hoover, AL","1/28/2000","1/28/2000","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://alamericabank.com","-3.78377014857604E-02","-5.01269883705387E-02","0","0","0","0","0","0","0","0","","0","0","0",""
"13947","0","869953","1061222","ALAMOSA STATE BANK","Alamosa","CO","81101","12/31/2021","5/18/2022","NM","2225 Main St.","ALAMOSA BCORP LTD","2","0","0","2","1","Alamosa","","","3/1/1907","2/23/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.alamosastatebank.com","-1.12107309116286E-02","-2.51374646911723E-02","0","0","0","-0.160115757762649","0","-0.161095929642844","0","0.119391321336315","-0.609013398294763","0.132608407373027","0","0.394088669950739",""
"17230","0","2732","1208933","ALBANY BANK AND TRUST COMPANY NATIONAL ASSOCIATION","Chicago","IL","60625","12/31/2021","5/18/2022","N","3400 W. Lawrence Ave.","ALBANK CORP","4","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/27/1953","6/27/1953","6/30/2019","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.albanybank.com","-5.21864377885475E-03","0","0","0","0","0","0","0","-5.57413600891862E-02","0","","0","0","0","0"
"17622","12071","388744","","ALDEN STATE BANK","Alden","MI","49612","12/31/2021","5/18/2022","NM","Coy &helena St.","","4","0","0","4","0","Antrim","","","1/1/1934","6/22/1956","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","http://www.aldenbank.com","-0.207163465693867","-0.256113099544759","-0.216726318005623","-0.323546893803418","0","-0.159013322334912","0","-0.191977730583252","0.253307064452575","-0.511770726714432","0.53248136315229","-0.580801858565947","-0.557765059656611","-0.641766140418432",""
"9831","0","414102","","ALDEN STATE BANK","Alden","NY","14004","12/31/2021","5/18/2022","SM","13216 Broadway","","3","0","0","4","0","Erie","15380","Buffalo-Cheektowaga-Niagara Falls, NY","10/5/1916","1/1/1934","5/1/2009","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","WWW.ALDENSTATE.COM","0.239430530099194","7.02279695657517E-02","0","0.300632581055972","0","1.85321387825543E-02","","1.85321387825543E-02","1.37187023858867","0.30757874015748","","0.30757874015748","-1.15446779034865","0.838574423480084",""
"3931","10999","933256","2067007","ALERUS FINANCIAL, NATIONAL ASSOCIATION","Grand Forks","ND","58201","12/31/2021","5/18/2022","N","401 Demers Ave.","ALERUS FINANCIAL CORP","16","0","1","4","0","Grand Forks","24220","Grand Forks, ND-MN","9/30/1933","1/1/1934","1/16/2016","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.alerus.com","-0.042639736248969","-3.14176842078742E-02","0","-5.88907488898467E-02","0","-1.84640603819809E-02","-0.065487092997717","-1.02310307869356E-02","-7.71946608692304E-02","2.23562065988643E-02","","2.23562065988643E-02","6.64890459296831E-02","-9.35325368518195E-02",""
"13080","0","585235","1201989","ALGONQUIN STATE BANK","Algonquin","IL","60102","12/31/2021","5/18/2022","NM","2400 Huntington Dr. N.","FIRST ALGONQUIN CO","4","0","0","8","1","Mchenry","16980","Chicago-Naperville-Elgin, IL-IN-WI","3/3/1902","1/1/1934","11/27/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.algonquinstatebank.com","-3.67793996130807E-03","-7.9239721287487E-03","0","0","0","-1.66640744773035E-02","0","-1.96211804102135E-02","0","0","","0","0","0",""
"20093","16002","25357","","ALL AMERICA BANK","Oklahoma City","OK","73128","12/31/2021","5/18/2022","NM","200 S. Rockwell Ave.","","7","0","0","2","1","Oklahoma","36420","Oklahoma City, OK","12/22/1969","12/22/1969","6/28/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","https://www.allamerica.bank","3.50781483554369E-02","-5.06972317862952E-03","0","0","0","-1.76583958104195E-02","0","-1.81857859896705E-02","0.117402388300013","0.701905944603423","","0.701905944603423","0","1.22896577802987",""
"58629","0","3579589","3744239","ALLEGIANCE BANK","Houston","TX","77040","12/31/2021","5/18/2022","NM","8727 W. Sam Houston Pkwy. N.","ALLEGIANCE BANCSHARES INC","27","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","10/15/2007","10/15/2007","2/2/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.allegiancebank.com","5.22113401132132E-02","2.68603272782335E-02","0","4.43007269977014E-02","0","2.95946213325922E-03","0","3.32069991499008E-03","0.130009930369805","4.71141214879194E-02","","4.71141214879194E-02","0","5.19766410860061E-02","0"
